query,page,clicks,impressions,ctr,position
papeleria,https://districomp.com.uy/papeleria-y-oficina/1,89,11234,0.007922378493857931,11.351522164856686
distri,https://districomp.com.uy/,77,305,0.25245901639344265,1.5704918032786885
notas adhesivas transparentes,https://districomp.com.uy/p/notas-adhesivas-75-x-75mm-transparentes-keep/5991/5987,49,351,0.1396011396011396,10.384615384615385
plastificadora a4,https://districomp.com.uy/p/plastificadora-a4-gbc-fusion-1100l/5177/5173,38,485,0.07835051546391752,4.327835051546392
plastificadora,https://districomp.com.uy/p/plastificadora-a4-gbc-fusion-1100l/5177/5173,30,1222,0.024549918166939442,15.297872340425531
impresora sistema continuo,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,28,1241,0.022562449637389202,16.473811442385173
dispensadores de agua,https://districomp.com.uy/p/dispensador-de-agua-salus-de-mesa-/3864/3864,25,365,0.0684931506849315,7.594520547945206
papel florete rayado,https://districomp.com.uy/p/librillo-de-papel-florete-rayado/182/182,22,126,0.1746031746031746,2.8095238095238093
impresoras sistema continuo,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,16,596,0.026845637583892617,10.588926174496644
rotola,https://districomp.com.uy/p/etiquetas-imprimibles-rotola-a4-27-270-unidades-63-x-31-mm/375/375,16,707,0.02263083451202263,4.818953323903819
splenda 700 sobres,https://districomp.com.uy/p/edulcorante-x700-sobres-de-1gr-splenda/1382/1382,16,417,0.03836930455635491,6.976019184652278
ditricom,https://districomp.com.uy/,14,43,0.32558139534883723,1.0
rotuladora brother,https://districomp.com.uy/p/rotuladora-impresora-etiquetas-pt-h110p-brother-rosada/834/834,14,150,0.09333333333333334,8.059999999999999
impresora brother,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t820dw-sistema-continuo-wifi-doble-faz-tinta-incluidas/5272/5268,13,2270,0.005726872246696035,9.141409691629956
impresora laser,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-laser/1,13,1028,0.01264591439688716,5.665369649805448
ditricomp,https://districomp.com.uy/,12,79,0.1518987341772152,1.0506329113924051
fanacopy,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,12,252,0.047619047619047616,3.4126984126984126
impresora hp 418,https://districomp.com.uy/p/impresora-multifuncion-hp-418-wifi-sistema-continuo-tinta-incluidas/5363/5359,12,46,0.2608695652173913,1.1956521739130435
vasos descartables,https://districomp.com.uy/p/vasos-plasticos-descartables-blancos-200ml-x100/1562/1562,12,1361,0.00881704628949302,8.940484937545921
alcalitrol,https://districomp.com.uy/p/detergente-alcalitrol-de-limon-5l/1579/1579,11,439,0.025056947608200455,4.57630979498861
ameriprint,https://districomp.com.uy/brands/view-products-brands/39/1,11,56,0.19642857142857142,3.75
hojas a4,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,11,1553,0.0070830650354153256,6.77269800386349
silla escritorio,https://districomp.com.uy/p/silla-ejecutiva-de-escritorio-donna-mesh-negra/4064/4064,11,591,0.018612521150592216,9.937394247038917
canon uruguay,https://districomp.com.uy/s/Canon/1,10,629,0.01589825119236884,7.751987281399046
dispensador de agua salus,https://districomp.com.uy/p/dispensador-de-agua-salus-de-mesa-/3864/3864,10,300,0.03333333333333333,3.316666666666667
hp 418,https://districomp.com.uy/p/impresora-multifuncion-hp-418-wifi-sistema-continuo-tinta-incluidas/5363/5359,10,109,0.09174311926605505,3.0
ip325,https://districomp.com.uy/p/papel-toalla-plus-elite-21x22cm-x320-ip325/6496/6492,10,31,0.3225806451612903,3.967741935483871
agua salus 20 litros precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,9,49,0.1836734693877551,1.0
bidones de 20 litros de agua salus,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,9,80,0.1125,1.775
canon g2010 tinta,https://districomp.com.uy/p/tinta-para-impresora-canon-gi-190-negro-g2010-2110-2800-3100-1100-original/2428/2428,9,231,0.03896103896103896,5.515151515151516
disticomp,https://districomp.com.uy/,9,69,0.13043478260869565,1.2463768115942029
distrcom,https://districomp.com.uy/,9,14,0.6428571428571429,1.6428571428571428
fanacopy a4,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,8,125,0.064,2.6319999999999997
notas transparentes,https://districomp.com.uy/p/notas-adhesivas-75-x-75mm-transparentes-keep/5991/5987,8,75,0.10666666666666667,7.466666666666667
opalina papel,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,8,386,0.02072538860103627,13.66580310880829
tinta para impresora canon g2010,https://districomp.com.uy/p/tinta-para-impresora-canon-gi-190-negro-g2010-2110-2800-3100-1100-original/2428/2428,8,100,0.08,5.29
cafe chana 1 kg,https://districomp.com.uy/p/cafe-molido-el-chana-1kg/1368/1368,7,230,0.030434782608695653,5.960869565217391
calculadora con rollo de papel,https://districomp.com.uy/p/calculadora-casio-hr-150rc-con-rollo/736/736,7,165,0.04242424242424243,12.812121212121212
dsitricomp,https://districomp.com.uy/,7,20,0.35,1.2
impresoras multifuncion,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/1,7,1576,0.004441624365482234,12.241751269035532
opalina,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,7,1039,0.006737247353224254,14.124157844080846
